id,name,domain_id,domain_name,purpose,aliases,related_domains
FW-D14-003,MEDDPICC,D14,Vendas,Amplia MEDDIC com paper process e análise competitiva.,,D13; D15; D03
FW-D14-004,BANT,D14,Vendas,"Qualifica por orçamento, autoridade, necessidade e prazo.",,D13; D15; D03
FW-D14-005,SPIN Selling,D14,Vendas,"Estrutura perguntas de situação, problema, implicação e necessidade de solução.",,D13; D15; D03
FW-D14-006,Challenger Sale,D14,Vendas,"Estrutura venda consultiva por ensinar, adaptar e assumir controle da conversa.",,D13; D15; D03
FW-D14-007,Solution Selling,D14,Vendas,Relaciona necessidades diagnosticadas a capacidades específicas da solução.,,D13; D15; D03
FW-D14-008,Sandler,D14,Vendas,Estrutura qualificação e avanço comercial por descoberta mútua.,,D13; D15; D03
FW-D14-009,JTBD Sales,D14,Vendas,Relaciona venda ao progresso que o comprador busca realizar.,,D13; D15; D03
FW-D14-010,Account Planning,D14,Vendas,"Estrutura objetivos, stakeholders, oportunidades e estratégia por conta.",,D13; D15; D03
FW-D14-011,Territory Planning,D14,Vendas,Distribui cobertura comercial segundo potencial e características do território.,,D13; D15; D03
FW-D14-012,Win/Loss Analysis,D14,Vendas,Analisa causas recorrentes de negócios ganhos e perdidos.,,D13; D15; D03
FW-D15-001,Customer Journey Map,D15,Atendimento e Sucesso do Cliente,"Mapeia etapas, interações, necessidades, emoções e fricções do cliente.",CJM,D10; D11; D14
FW-D15-002,Voice of Customer,D15,Atendimento e Sucesso do Cliente,Consolida necessidades e percepções expressas pelos clientes.,VoC,D10; D11; D14
FW-D15-003,Customer Effort Score,D15,Atendimento e Sucesso do Cliente,Mede o esforço percebido para concluir uma interação.,CES,D10; D11; D14
FW-D15-004,NPS,D15,Atendimento e Sucesso do Cliente,Mede propensão declarada a recomendar a solução.,,D10; D11; D14
FW-D15-005,CSAT,D15,Atendimento e Sucesso do Cliente,Mede satisfação após experiência ou interação específica.,,D10; D11; D14
FW-D15-006,Cohort Analysis,D15,Atendimento e Sucesso do Cliente,Compara comportamento de grupos de clientes ao longo do tempo.,,D10; D11; D14
FW-D15-007,Retention Analysis,D15,Atendimento e Sucesso do Cliente,Mede permanência e recorrência da base.,,D10; D11; D14
FW-D15-008,RFM,D15,Atendimento e Sucesso do Cliente,"Segmenta clientes por recência, frequência e valor monetário.",,D10; D11; D14
FW-D15-009,Customer Health Score,D15,Atendimento e Sucesso do Cliente,"Combina sinais de uso, relacionamento e valor para indicar saúde da conta.",,D10; D11; D14
FW-D15-010,Churn Analysis,D15,Atendimento e Sucesso do Cliente,Investiga padrões e causas associados à perda de clientes.,,D10; D11; D14
FW-D16-001,PESO Model,D16,Mídias Sociais e Atuação Digital,"Organiza canais em paid, earned, shared e owned media.",,D13; D19; D15
FW-D16-002,See–Think–Do–Care,D16,Mídias Sociais e Atuação Digital,Estrutura conteúdo segundo diferentes estágios de intenção do público.,,D13; D19; D15
FW-D16-003,Content Pillars,D16,Mídias Sociais e Atuação Digital,Define grandes temas recorrentes que orientam produção editorial.,,D13; D19; D15
FW-D16-004,Content Funnel,D16,Mídias Sociais e Atuação Digital,"Relaciona conteúdo a descoberta, consideração, conversão e relacionamento.",,D13; D19; D15
FW-D16-005,Hero–Hub–Help,D16,Mídias Sociais e Atuação Digital,"Distribui conteúdo entre grandes ativações, séries recorrentes e respostas utilitárias.",,D13; D19; D15
FW-D16-006,Content Repurposing Matrix,D16,Mídias Sociais e Atuação Digital,Planeja transformação de um ativo em múltiplos formatos e canais.,,D13; D19; D15
FW-D16-007,Campaign Measurement Framework,D16,Mídias Sociais e Atuação Digital,"Relaciona objetivo, audiência, canal, indicadores e resultados.",,D13; D19; D15
FW-D16-008,RACE,D16,Mídias Sociais e Atuação Digital,"Estrutura marketing digital por Reach, Act, Convert e Engage.",,D13; D19; D15
FW-D16-009,Hook Model,D16,Mídias Sociais e Atuação Digital,"Analisa ciclos de gatilho, ação, recompensa e investimento.",,D13; D19; D15
FW-D16-010,Social Media Content Matrix,D16,Mídias Sociais e Atuação Digital,"Cruza formato, tema, objetivo e canal para planejamento editorial.",,D13; D19; D15
FW-D17-001,STAR,D17,Emprego e Portfólio,"Estrutura casos profissionais por situação, tarefa, ação e resultado.",,D04; D19; D22
FW-D17-002,CAR,D17,Emprego e Portfólio,"Estrutura relatos por desafio, ação e resultado.",,D04; D19; D22
FW-D17-003,SOAR,D17,Emprego e Portfólio,"Organiza situação, obstáculos, ações e resultados em narrativas profissionais.",,D04; D19; D22
FW-D17-004,Competency Mapping,D17,Emprego e Portfólio,Relaciona evidências profissionais a competências requeridas.,,D04; D19; D22
FW-D17-005,Career Gap Analysis,D17,Emprego e Portfólio,Compara perfil atual aos requisitos do papel desejado.,,D04; D19; D22
FW-D17-006,Portfolio Case Study Framework,D17,Emprego e Portfólio,"Estrutura problema, contexto, processo, decisões, evidências e resultados de um projeto.",,D04; D19; D22
FW-D17-007,Career Capital,D17,Emprego e Portfólio,"Organiza competências, experiência, reputação e ativos profissionais acumuláveis.",,D04; D19; D22
FW-D17-008,Evidence-Based Portfolio,D17,Emprego e Portfólio,Vincula afirmações profissionais a entregáveis e evidências verificáveis.,,D04; D19; D22
FW-D18-001,Contract-First Design,D18,Contratos e Esquemas,Define contratos formais antes da implementação dos componentes.,,D12; D20; D05
FW-D18-002,OpenAPI,D18,Contratos e Esquemas,Especifica contratos de APIs HTTP de forma legível por humanos e máquinas.,,D12; D20; D05
FW-D18-003,JSON Schema,D18,Contratos e Esquemas,"Define estrutura, tipos e validações para documentos JSON.",,D12; D20; D05
FW-D18-004,AsyncAPI,D18,Contratos e Esquemas,Especifica arquiteturas e interfaces orientadas a eventos.,,D12; D20; D05
FW-D18-005,Protocol Buffers,D18,Contratos e Esquemas,Define esquemas tipados e serialização eficiente entre sistemas.,,D12; D20; D05
FW-D18-006,Schema Registry,D18,Contratos e Esquemas,Centraliza versões e compatibilidade de esquemas compartilhados.,,D12; D20; D05
FW-D18-007,Consumer-Driven Contract Testing,D18,Contratos e Esquemas,Valida provedores contra expectativas reais dos consumidores.,,D12; D20; D05
FW-D18-008,Pact,D18,Contratos e Esquemas,Implementa testes automatizados de contratos entre serviços.,,D12; D20; D05
FW-D18-009,Semantic Versioning,D18,Contratos e Esquemas,"Comunica compatibilidade por versões major, minor e patch.",,D12; D20; D05
FW-D18-010,Schema Evolution,D18,Contratos e Esquemas,Controla alterações de esquemas preservando compatibilidade entre versões.,,D12; D20; D05
FW-D19-001,AIDA,D19,Assets e CTA,"Estrutura comunicação por atenção, interesse, desejo e ação.",,D16; D13; D14
FW-D19-002,PAS,D19,Assets e CTA,"Estrutura mensagem por problema, agitação e solução.",,D16; D13; D14
FW-D19-003,BAB,D19,Assets e CTA,"Organiza narrativa entre estado anterior, estado desejado e ponte para alcançá-lo.",,D16; D13; D14
FW-D19-004,FAB,D19,Assets e CTA,"Comunica features, vantagens e benefícios.",,D16; D13; D14
FW-D19-005,4Us,D19,Assets e CTA,"Avalia mensagens por utilidade, urgência, singularidade e especificidade.",,D16; D13; D14
FW-D19-006,CTA Matrix,D19,Assets e CTA,"Relaciona estágio, objetivo, ação desejada e chamada correspondente.",,D16; D13; D14
FW-D19-007,Asset Matrix,D19,Assets e CTA,"Cataloga ativos segundo formato, canal, público, objetivo e estágio do funil.",,D16; D13; D14
FW-D19-008,Creative Testing Matrix,D19,Assets e CTA,"Organiza testes de mensagem, criativo, formato, público e oferta.",,D16; D13; D14
FW-D19-009,Message Hierarchy,D19,Assets e CTA,Define ordem e prioridade das mensagens em uma peça.,,D16; D13; D14
FW-D19-010,Offer Framework,D19,Assets e CTA,"Estrutura proposta, benefício, prova, redução de risco e chamada à ação.",,D16; D13; D14
FW-D20-001,Platform Engineering,D20,Plataformas e Repositórios,Estrutura capacidades compartilhadas para acelerar entrega e reduzir carga cognitiva.,,D12; D18; D22
FW-D20-002,GitFlow,D20,Plataformas e Repositórios,"Define branches específicas para desenvolvimento, releases e hotfixes.",,D12; D18; D22
FW-D20-003,GitHub Flow,D20,Plataformas e Repositórios,"Usa branches curtas, pull requests e integração frequente.",,D12; D18; D22
FW-D20-004,Trunk-Based Development,D20,Plataformas e Repositórios,Favorece integração frequente em branch principal.,,D12; D18; D22
FW-D20-005,Monorepo,D20,Plataformas e Repositórios,Centraliza múltiplos componentes relacionados em um único repositório.,,D12; D18; D22
FW-D20-006,Polyrepo,D20,Plataformas e Repositórios,Mantém componentes ou serviços em repositórios independentes.,,D12; D18; D22
FW-D20-007,InnerSource,D20,Plataformas e Repositórios,Aplica práticas de colaboração open source dentro da organização.,,D12; D18; D22
FW-D20-008,Software Catalog,D20,Plataformas e Repositórios,"Mantém inventário rastreável de sistemas, serviços, owners e dependências.",,D12; D18; D22
FW-D20-009,Repository Governance,D20,Plataformas e Repositórios,"Padroniza ownership, branches, revisão, releases e documentação de repositórios.",,D12; D18; D22
FW-D20-010,Semantic Release,D20,Plataformas e Repositórios,Automatiza versionamento e releases com base nas mudanças registradas.,,D12; D18; D22
FW-D21-001,RAID Log,D21,Workbook,"Consolida riscos, ações, issues e dependências em registro operacional.",,D03; D05; D07; D22
FW-D21-002,Action Register,D21,Workbook,"Registra ação, owner, prazo, status e evidência de conclusão.",,D03; D05; D07; D22
FW-D21-003,Assumption Log,D21,Workbook,"Mantém hipóteses explícitas, validação, impacto e estado.",,D03; D05; D07; D22
FW-D21-004,Dependency Matrix,D21,Workbook,Relaciona entregas e pré-condições entre iniciativas.,,D03; D05; D07; D22
FW-D21-005,KPI Scorecard,D21,Workbook,"Consolida metas, resultados, desvios e tendências dos indicadores.",,D03; D05; D07; D22
FW-D21-006,Milestone Tracker,D21,Workbook,"Registra marcos, datas planejadas, datas reais e desvios.",,D03; D05; D07; D22
FW-D21-007,Source–Transform–Output,D21,Workbook,"Estrutura planilhas por fonte, tratamento e saída controlada.",,D03; D05; D07; D22
FW-D21-008,Workbook Control Model,D21,Workbook,"Padroniza versão, fontes, fórmulas, owners, validações e outputs do workbook.",,D03; D05; D07; D22
FW-D22-001,ADR,D22,Decisões e Registros,"Registra contexto, decisão arquitetural, alternativas e consequências.",,D01; D07; D12
FW-D22-002,RFC,D22,Decisões e Registros,"Formaliza proposta para discussão, revisão e decisão rastreável.",,D01; D07; D12
FW-D22-003,RAPID,D22,Decisões e Registros,"Distribui papéis de recomendar, concordar, executar, contribuir e decidir.",,D01; D07; D12
FW-D22-004,DACI,D22,Decisões e Registros,"Define driver, approver, contributors e informed para decisões.",,D01; D07; D12
FW-D22-005,Decision Matrix,D22,Decisões e Registros,Compara alternativas segundo critérios explícitos.,,D01; D07; D12
FW-D22-006,Weighted Decision Matrix,D22,Decisões e Registros,Adiciona pesos aos critérios para comparação estruturada.,,D01; D07; D12
FW-D22-007,Cynefin,D22,Decisões e Registros,Classifica contextos para adequar forma de análise e decisão.,,D01; D07; D12
FW-D22-008,Stacey Matrix,D22,Decisões e Registros,Relaciona certeza e consenso para caracterizar complexidade decisória.,,D01; D07; D12
FW-D22-009,Pre-Mortem,D22,Decisões e Registros,Antecipadamente imagina falha para identificar riscos ocultos.,,D01; D07; D12
FW-D22-010,Post-Mortem,D22,Decisões e Registros,Analisa incidente ou resultado após ocorrência para produzir aprendizado.,,D01; D07; D12
FW-D22-011,After Action Review,D22,Decisões e Registros,"Compara intenção, resultado, causas e aprendizados após execução.",,D01; D07; D12
FW-D22-012,Decision Log,D22,Decisões e Registros,"Mantém registro cronológico de decisões, responsáveis, justificativas e evidências.",,D01; D07; D12
FW-D23-001,Service Blueprint,D23,Blueprints,"Relaciona jornada do cliente a frontstage, backstage, processos e suportes.",,D01; D08; D10; D11; D12
FW-D23-002,Operating Model Blueprint,D23,Blueprints,"Representa capacidades, pessoas, processos, tecnologia e governança operacional.",,D01; D08; D10; D11; D12
FW-D23-003,Product Blueprint,D23,Blueprints,"Integra experiência, funcionalidades, dados, tecnologia e operações de um produto.",,D01; D08; D10; D11; D12
FW-D23-004,Process Blueprint,D23,Blueprints,"Representa etapas, papéis, regras, sistemas, entradas e saídas de um processo.",,D01; D08; D10; D11; D12
FW-D23-005,Capability Blueprint,D23,Blueprints,"Representa capacidades necessárias, maturidade, dependências e habilitadores.",,D01; D08; D10; D11; D12
FW-D23-006,Reference Architecture,D23,Blueprints,Define modelo arquitetural reutilizável para uma classe de soluções.,,D01; D08; D10; D11; D12
FW-D23-007,Experience Blueprint,D23,Blueprints,"Integra jornadas, touchpoints, serviços, canais e componentes de experiência.",,D01; D08; D10; D11; D12
FW-D23-008,Enterprise Blueprint,D23,Blueprints,"Consolida estratégia, capacidades, processos, informação, aplicações e tecnologia.",,D01; D08; D10; D11; D12
